#GC情况对比
before:
[scmpf@bb-scm-scmweb02.bb01.baidu.com logs]$ jstat -gcutil 25981 10s
  S0     S1     E       O       P    YGC     YGCT    FGC   FGCT      GCT
 0.00  62.39  59.90  78.43  23.90   2053   58.570    22   69.719  128.289
71.94   0.00  18.80  78.46  23.90   2054   58.628    22   69.719  128.348
71.94   0.00  71.13  78.46  23.90   2054   58.628    22   69.719  128.348
 0.00  69.24  31.62  78.48  23.90   2055   58.681    22   69.719  128.400
 0.00  69.24  82.83  78.48  23.90   2055   58.681    22   69.719  128.400
71.44   0.00  42.09  78.52  23.90   2056   58.732    22   69.719  128.451
71.44   0.00  94.70  78.52  23.90   2056   58.732    22   69.719  128.451
 0.00  76.75  55.52  78.59  23.90   2057   58.798    22   69.719  128.518
39.07   0.00  16.96  78.95  23.90   2058   58.860    22   69.719  128.580
39.07   0.00  52.48  78.95  23.90   2058   58.860    22   69.719  128.580
39.07   0.00  97.55  78.95  23.90   2058   58.860    22   69.719  128.580
 0.00  99.83  48.05  78.98  23.90   2059   58.933    22   69.719  128.652
 0.00  99.83  92.24  78.98  23.90   2059   58.933    22   69.719  128.652
40.48   0.00  48.48  78.99  23.90   2060   58.987    22   69.719  128.706

after:
[scmpf@bb-scm-scmweb01.bb01.baidu.com logs]$ jstat -gcutil 26749 10s
  S0     S1     E      O      P     YGC     YGCT      FGC    FGCT     GCT
34.90   0.00  79.93  56.87  23.54   1272   61.730     0    0.000   61.730
34.90  21.35 100.00  56.87  23.54   1273   61.730     0    0.000   61.730
 0.00  35.11  60.68  56.87  23.54   1273   61.770     0    0.000   61.770
 0.00  35.11  86.63  56.87  23.54   1273   61.770     0    0.000   61.770
87.39   0.00  19.13  56.88  23.54   1274   61.897     0    0.000   61.897
87.39   0.00  40.21  56.88  23.54   1274   61.897     0    0.000   61.897
87.39   0.00  73.00  56.88  23.54   1274   61.897     0    0.000   61.897
 0.00  24.01  14.19  57.78  23.54   1275   62.003     0    0.000   62.003
 0.00  24.01  50.87  57.78  23.54   1275   62.003     0    0.000   62.003
 0.00  24.01  83.01  57.78  23.54   1275   62.003     0    0.000   62.003
 9.10   0.00  14.37  57.78  23.54   1276   62.023     0    0.000   62.023
 9.10   0.00  34.86  57.78  23.54   1276   62.023     0    0.000   62.023
 9.10   0.00  70.26  57.78  23.54   1276   62.023     0    0.000   62.023
 0.00  22.47   5.03  57.78  23.54   1277   62.072     0    0.000   62.072
 0.00  22.47  42.66  57.78  23.54   1277   62.072     0    0.000   62.072
