bash-4.1$ /usr/bin/sudo -u tomcat /opt/yrd_soft/java/bin/jstat -gcutil 23351 5s
  S0     S1     E      O      P     YGC     YGCT    FGC    FGCT     GCT
  3.49   0.00  97.85  42.93  23.22 267698 4896.442  2271  122.940 5019.382
  0.00   4.25  14.45  42.93  23.22 267699 4896.457  2271  122.940 5019.397
  0.00   4.25  29.75  42.93  23.22 267699 4896.457  2271  122.940 5019.397
  0.00   4.25  50.66  42.93  23.22 267699 4896.457  2271  122.940 5019.397
  0.00   4.25  65.47  42.93  23.22 267699 4896.457  2271  122.940 5019.397
  0.00   4.25  76.52  42.93  23.22 267699 4896.457  2271  122.940 5019.397
  0.00   4.25  90.76  42.93  23.22 267699 4896.457  2271  122.940 5019.397
  2.76   0.00   5.94  42.93  23.22 267700 4896.466  2271  122.940 5019.406
  2.76   0.00  20.94  42.93  23.22 267700 4896.466  2271  122.940 5019.406
  2.76   0.00  36.48  42.93  23.22 267700 4896.466  2271  122.940 5019.406
  2.76   0.00  53.89  42.93  23.22 267700 4896.466  2271  122.940 5019.406
  2.76   0.00  67.83  42.93  23.22 267700 4896.466  2271  122.940 5019.406
  2.76   0.00  82.36  42.93  23.22 267700 4896.466  2271  122.940 5019.406
  2.76   0.00  97.47  42.93  23.22 267700 4896.466  2271  122.940 5019.406
  0.00   3.53  13.17  42.93  23.22 267701 4896.476  2271  122.940 5019.416
  0.00   3.53  37.34  42.93  23.22 267701 4896.476  2271  122.940 5019.416
  0.00   3.53  51.54  42.93  23.22 267701 4896.476  2271  122.940 5019.416
  0.00   3.53  63.66  42.93  23.22 267701 4896.476  2271  122.940 5019.416
  0.00   3.53  77.40  42.93  23.22 267701 4896.476  2271  122.940 5019.416
  0.00   3.53  90.28  42.93  23.22 267701 4896.476  2271  122.940 5019.416
  3.35   0.00   8.78  42.93  23.22 267702 4896.489  2271  122.940 5019.428
  3.35   0.00  21.15  42.93  23.22 267702 4896.489  2271  122.940 5019.428
  3.35   0.00  33.36  42.93  23.22 267702 4896.489  2271  122.940 5019.428
  3.35   0.00  45.22  42.93  23.22 267702 4896.489  2271  122.940 5019.428
  3.35   0.00  58.72  42.93  23.22 267702 4896.489  2271  122.940 5019.428
  3.35   0.00  72.26  42.93  23.22 267702 4896.489  2271  122.940 5019.428
  3.35   0.00  83.75  42.93  23.22 267702 4896.489  2271  122.940 5019.428
  3.35   0.00  96.44  42.93  23.22 267702 4896.489  2271  122.940 5019.428
  0.00   4.57   8.46  42.93  23.22 267703 4896.496  2271  122.940 5019.436
  0.00   4.57  21.10  42.93  23.22 267703 4896.496  2271  122.940 5019.436
  0.00   4.57  36.34  42.93  23.22 267703 4896.496  2271  122.940 5019.436
  0.00   4.57  55.44  42.93  23.22 267703 4896.496  2271  122.940 5019.436
  0.00   4.57  70.87  42.93  23.22 267703 4896.496  2271  122.940 5019.436
  0.00   4.57  89.39  42.93  23.22 267703 4896.496  2271  122.940 5019.436
  2.84   0.00   4.76  42.93  23.22 267704 4896.507  2271  122.940 5019.447
  2.84   0.00  16.55  42.93  23.22 267704 4896.507  2271  122.940 5019.447
  2.84   0.00  26.62  42.93  23.22 267704 4896.507  2271  122.940 5019.447
  2.84   0.00  33.99  42.93  23.22 267704 4896.507  2271  122.940 5019.447
  2.84   0.00  37.80  42.93  23.22 267704 4896.507  2271  122.940 5019.447
  2.84   0.00  43.61  42.93  23.22 267704 4896.507  2271  122.940 5019.447
  2.84   0.00  49.41  42.93  23.22 267704 4896.507  2271  122.940 5019.447
  2.84   0.00  52.30  42.93  23.22 267704 4896.507  2271  122.940 5019.447
  0.00  25.05  13.02  42.93  23.22 267705 4896.528  2271  122.940 5019.468
  0.00  74.20   3.89  49.24  23.22 267713 4896.821  2271  122.940 5019.761
 58.27   0.00   0.00  55.59  23.22 267724 4897.155  2271  122.940 5020.094
  0.00  93.65  78.18  60.43  23.22 267731 4897.383  2271  122.940 5020.323
 93.88   0.00  83.91  67.24  23.22 267740 4897.688  2271  122.940 5020.627
  0.00 100.00  10.92  71.64  23.22 267749 4897.967  2271  122.940 5020.907
  0.00  92.97  86.78  75.46  23.22 267755 4898.162  2271  122.940 5021.102
  0.00  68.23  72.67  81.22  23.22 267763 4898.412  2273  122.960 5021.372
  0.00  82.69  88.39  16.76  23.22 267773 4898.727  2273  123.042 5021.769
  0.00 100.00  44.78  23.19  23.22 267783 4899.008  2273  123.042 5022.050
  0.00  98.49  87.72  30.03  23.22 267793 4899.306  2273  123.042 5022.348
  0.00 100.00  61.42  38.88  23.22 267803 4899.663  2273  123.042 5022.705
 83.42   0.00  75.81  44.57  23.22 267814 4899.919  2273  123.042 5022.961
  0.00 100.00  19.74  53.35  23.22 267829 4900.350  2273  123.042 5023.392
  0.00  72.72  61.85  61.80  23.22 267841 4900.668  2273  123.042 5023.710
 88.01   0.00  38.02  69.10  23.22 267862 4901.156  2273  123.042 5024.198
100.00   0.00  81.96  76.97  23.22 267868 4901.421  2273  123.042 5024.463
  0.00  97.48  42.15  21.89  23.22 267879 4901.687  2275  123.079 5024.766
 65.66   0.00   0.00  29.16  23.22 267912 4902.264  2275  123.079 5025.343
  0.00 100.00  75.43  37.59  23.22 267925 4902.686  2275  123.079 5025.765
 71.71   0.00  46.94  44.43  23.22 267932 4902.875  2275  123.079 5025.954
  0.00  81.52  63.57  51.93  23.22 267963 4903.507  2275  123.079 5026.586
100.00   0.00  42.23  60.45  23.22 267976 4903.893  2275  123.079 5026.972
 45.86   0.00  84.14  69.00  23.22 267989 4904.193  2275  123.079 5027.272
  0.00  87.18 100.00  76.22  23.22 268014 4904.750  2275  123.079 5027.829
 92.33   0.00  51.91  21.70  23.22 268030 4905.176  2277  123.265 5028.442
 49.12   0.00  58.47  29.96  23.22 268042 4905.481  2277  123.265 5028.746
 81.23   0.00   2.66  36.52  23.22 268066 4905.976  2277  123.265 5029.241
  0.00  84.60  38.82  44.86  23.22 268083 4906.430  2277  123.265 5029.695
 79.09   0.00  58.68  51.26  23.22 268092 4906.671  2277  123.265 5029.937
  0.00  70.72  60.90  58.30  23.22 268115 4907.148  2277  123.265 5030.414
  0.00  92.80  48.39  64.36  23.22 268145 4907.739  2277  123.265 5031.005
  0.00  59.17  45.24  71.57  23.22 268161 4908.168  2277  123.265 5031.434
  0.00  63.60  47.98  51.04  23.22 268177 4908.661  2279  123.295 5031.956
  0.00 100.00   6.97  28.30  23.22 268189 4908.983  2279  123.295 5032.279
 83.08   0.00  97.17  35.06  23.22 268210 4909.427  2279  123.295 5032.723
100.00   0.00   0.00  41.64  23.22 268228 4909.885  2279  123.295 5033.180
  0.00  78.82   0.00  47.97  23.22 268257 4910.428  2279  123.295 5033.723
 49.07   0.00  79.98  55.52  23.22 268268 4910.751  2279  123.295 5034.047
 51.42   0.00  65.58  62.00  23.22 268298 4911.254  2279  123.295 5034.549
 96.97   0.00  97.89  69.24  23.22 268325 4911.866  2279  123.295 5035.162
100.00   0.00  90.45  75.95  23.22 268342 4912.337  2279  123.295 5035.632
 74.39   0.00  46.85  26.64  23.22 268352 4912.672  2281  123.422 5036.094
100.00   0.00  41.05  31.69  23.22 268364 4912.975  2281  123.422 5036.397
 68.54   0.00   3.70  36.85  23.22 268374 4913.200  2281  123.422 5036.621
 43.19   0.00  37.42  41.12  23.22 268400 4913.601  2281  123.422 5037.023
 16.75   0.00  53.82  43.83  23.22 268440 4914.010  2281  123.422 5037.432
  6.69   0.00   0.00  44.56  23.22 268486 4914.319  2281  123.422 5037.741
  0.00   3.87  45.30  44.67  23.22 268501 4914.403  2281  123.422 5037.825
